#  Energy(Ry)          total             X             Y             Z
#  Broadening is:       0.0150000     Ry
      0.90000000E-01      0.74481854E-03      0.28789262E-03      0.29174776E-03      0.16517816E-03
      0.91000000E-01      0.75584529E-03      0.29220986E-03      0.29611856E-03      0.16751688E-03
      0.92000000E-01      0.76694797E-03      0.29655823E-03      0.30052077E-03      0.16986897E-03
      0.93000000E-01      0.77812719E-03      0.30093799E-03      0.30495466E-03      0.17223453E-03
      0.94000000E-01      0.78938358E-03      0.30534943E-03      0.30942051E-03      0.17461365E-03
      0.95000000E-01      0.80071778E-03      0.30979280E-03      0.31391857E-03      0.17700642E-03
      0.96000000E-01      0.81213043E-03      0.31426837E-03      0.31844913E-03      0.17941292E-03
      0.97000000E-01      0.82362217E-03      0.31877644E-03      0.32301246E-03      0.18183327E-03
      0.98000000E-01      0.83519365E-03      0.32331727E-03      0.32760885E-03      0.18426754E-03
      0.99000000E-01      0.84684555E-03      0.32789114E-03      0.33223858E-03      0.18671583E-03
      0.10000000E+00      0.85857851E-03      0.33249835E-03      0.33690194E-03      0.18917823E-03
      0.10100000E+00      0.87039322E-03      0.33713917E-03      0.34159921E-03      0.19165485E-03
      0.10200000E+00      0.88229036E-03      0.34181390E-03      0.34633068E-03      0.19414578E-03
      0.10300000E+00      0.89427061E-03      0.34652284E-03      0.35109666E-03      0.19665111E-03
      0.10400000E+00      0.90633467E-03      0.35126627E-03      0.35589745E-03      0.19917094E-03
      0.10500000E+00      0.91848323E-03      0.35604451E-03      0.36073333E-03      0.20170538E-03
      0.10600000E+00      0.93071700E-03      0.36085785E-03      0.36560463E-03      0.20425452E-03
      0.10700000E+00      0.94303670E-03      0.36570660E-03      0.37051164E-03      0.20681847E-03
      0.10800000E+00      0.95544306E-03      0.37059107E-03      0.37545468E-03      0.20939731E-03
      0.10900000E+00      0.96793679E-03      0.37551156E-03      0.38043406E-03      0.21199117E-03
      0.11000000E+00      0.98051864E-03      0.38046841E-03      0.38545011E-03      0.21460013E-03
      0.11100000E+00      0.99318936E-03      0.38546192E-03      0.39050313E-03      0.21722430E-03
      0.11200000E+00      0.10059497E-02      0.39049243E-03      0.39559346E-03      0.21986380E-03
      0.11300000E+00      0.10188004E-02      0.39556024E-03      0.40072143E-03      0.22251871E-03
      0.11400000E+00      0.10317422E-02      0.40066571E-03      0.40588737E-03      0.22518916E-03
      0.11500000E+00      0.10447760E-02      0.40580915E-03      0.41109160E-03      0.22787524E-03
      0.11600000E+00      0.10579025E-02      0.41099091E-03      0.41633448E-03      0.23057707E-03
      0.11700000E+00      0.10711224E-02      0.41621132E-03      0.42161634E-03      0.23329476E-03
      0.11800000E+00      0.10844367E-02      0.42147074E-03      0.42693753E-03      0.23602840E-03
      0.11900000E+00      0.10978460E-02      0.42676950E-03      0.43229840E-03      0.23877813E-03
      0.12000000E+00      0.11113513E-02      0.43210796E-03      0.43769930E-03      0.24154404E-03
      0.12100000E+00      0.11249533E-02      0.43748647E-03      0.44314060E-03      0.24432625E-03
      0.12200000E+00      0.11386529E-02      0.44290540E-03      0.44862264E-03      0.24712488E-03
      0.12300000E+00      0.11524509E-02      0.44836510E-03      0.45414580E-03      0.24994003E-03
      0.12400000E+00      0.11663482E-02      0.45386595E-03      0.45971044E-03      0.25277183E-03
      0.12500000E+00      0.11803457E-02      0.45940831E-03      0.46531695E-03      0.25562039E-03
      0.12600000E+00      0.11944441E-02      0.46499256E-03      0.47096569E-03      0.25848583E-03
      0.12700000E+00      0.12086444E-02      0.47061908E-03      0.47665704E-03      0.26136827E-03
      0.12800000E+00      0.12229475E-02      0.47628825E-03      0.48239140E-03      0.26426782E-03
      0.12900000E+00      0.12373542E-02      0.48200046E-03      0.48816915E-03      0.26718462E-03
      0.13000000E+00      0.12518656E-02      0.48775610E-03      0.49399068E-03      0.27011877E-03
      0.13100000E+00      0.12664824E-02      0.49355557E-03      0.49985640E-03      0.27307041E-03
      0.13200000E+00      0.12812056E-02      0.49939926E-03      0.50576671E-03      0.27603965E-03
      0.13300000E+00      0.12960362E-02      0.50528758E-03      0.51172201E-03      0.27902662E-03
      0.13400000E+00      0.13109751E-02      0.51122094E-03      0.51772271E-03      0.28203145E-03
      0.13500000E+00      0.13260233E-02      0.51719976E-03      0.52376924E-03      0.28505427E-03
      0.13600000E+00      0.13411817E-02      0.52322445E-03      0.52986200E-03      0.28809520E-03
      0.13700000E+00      0.13564512E-02      0.52929544E-03      0.53600144E-03      0.29115437E-03
      0.13800000E+00      0.13718330E-02      0.53541315E-03      0.54218797E-03      0.29423191E-03
      0.13900000E+00      0.13873280E-02      0.54157801E-03      0.54842203E-03      0.29732796E-03
      0.14000000E+00      0.14029372E-02      0.54779047E-03      0.55470407E-03      0.30044264E-03
      0.14100000E+00      0.14186616E-02      0.55405097E-03      0.56103453E-03      0.30357609E-03
      0.14200000E+00      0.14345022E-02      0.56035994E-03      0.56741385E-03      0.30672845E-03
      0.14300000E+00      0.14504602E-02      0.56671785E-03      0.57384249E-03      0.30989985E-03
      0.14400000E+00      0.14665365E-02      0.57312516E-03      0.58032091E-03      0.31309043E-03
      0.14500000E+00      0.14827322E-02      0.57958232E-03      0.58684958E-03      0.31630032E-03
      0.14600000E+00      0.14990484E-02      0.58608980E-03      0.59342897E-03      0.31952967E-03
      0.14700000E+00      0.15154862E-02      0.59264808E-03      0.60005955E-03      0.32277862E-03
      0.14800000E+00      0.15320467E-02      0.59925764E-03      0.60674180E-03      0.32604731E-03
      0.14900000E+00      0.15487310E-02      0.60591895E-03      0.61347621E-03      0.32933588E-03
      0.15000000E+00      0.15655403E-02      0.61263251E-03      0.62026328E-03      0.33264448E-03
      0.15100000E+00      0.15824756E-02      0.61939881E-03      0.62710350E-03      0.33597325E-03
      0.15200000E+00      0.15995381E-02      0.62621836E-03      0.63399737E-03      0.33932234E-03
