#  Energy(Ry)          total             X             Y             Z
#  Broadening is:       0.0150000     Ry
      0.12100000E+00      0.10335438E-01      0.46624896E-02      0.46311107E-02      0.10418378E-02
      0.12200000E+00      0.10475329E-01      0.47255847E-02      0.46938108E-02      0.10559332E-02
      0.12300000E+00      0.10616545E-01      0.47892773E-02      0.47571054E-02      0.10701626E-02
      0.12400000E+00      0.10759103E-01      0.48535743E-02      0.48210012E-02      0.10845274E-02
      0.12500000E+00      0.10903017E-01      0.49184826E-02      0.48855052E-02      0.10990292E-02
      0.12600000E+00      0.11048303E-01      0.49840093E-02      0.49506242E-02      0.11136697E-02
      0.12700000E+00      0.11194977E-01      0.50501613E-02      0.50163655E-02      0.11284504E-02
      0.12800000E+00      0.11343055E-01      0.51169461E-02      0.50827362E-02      0.11433730E-02
      0.12900000E+00      0.11492553E-01      0.51843708E-02      0.51497436E-02      0.11584392E-02
      0.13000000E+00      0.11643488E-01      0.52524428E-02      0.52173949E-02      0.11736506E-02
      0.13100000E+00      0.11795877E-01      0.53211698E-02      0.52856979E-02      0.11890089E-02
      0.13200000E+00      0.11949735E-01      0.53905593E-02      0.53546599E-02      0.12045160E-02
      0.13300000E+00      0.12105081E-01      0.54606191E-02      0.54242888E-02      0.12201735E-02
      0.13400000E+00      0.12261932E-01      0.55313569E-02      0.54945923E-02      0.12359832E-02
      0.13500000E+00      0.12420306E-01      0.56027808E-02      0.55655783E-02      0.12519470E-02
      0.13600000E+00      0.12580220E-01      0.56748988E-02      0.56372550E-02      0.12680666E-02
      0.13700000E+00      0.12741693E-01      0.57477190E-02      0.57096303E-02      0.12843440E-02
      0.13800000E+00      0.12904744E-01      0.58212499E-02      0.57827127E-02      0.13007811E-02
      0.13900000E+00      0.13069390E-01      0.58954998E-02      0.58565104E-02      0.13173797E-02
      0.14000000E+00      0.13235651E-01      0.59704772E-02      0.59310320E-02      0.13341419E-02
      0.14100000E+00      0.13403546E-01      0.60461908E-02      0.60062861E-02      0.13510695E-02
      0.14200000E+00      0.13573095E-01      0.61226494E-02      0.60822814E-02      0.13681646E-02
      0.14300000E+00      0.13744318E-01      0.61998619E-02      0.61590269E-02      0.13854293E-02
      0.14400000E+00      0.13917234E-01      0.62778373E-02      0.62365314E-02      0.14028656E-02
      0.14500000E+00      0.14091865E-01      0.63565849E-02      0.63148043E-02      0.14204756E-02
      0.14600000E+00      0.14268230E-01      0.64361138E-02      0.63938546E-02      0.14382614E-02
      0.14700000E+00      0.14446351E-01      0.65164337E-02      0.64736919E-02      0.14562252E-02
      0.14800000E+00      0.14626249E-01      0.65975540E-02      0.65543257E-02      0.14743692E-02
      0.14900000E+00      0.14807946E-01      0.66794844E-02      0.66357656E-02      0.14926957E-02
      0.15000000E+00      0.14991463E-01      0.67622349E-02      0.67180215E-02      0.15112068E-02
      0.15100000E+00      0.15176824E-01      0.68458155E-02      0.68011033E-02      0.15299049E-02
      0.15200000E+00      0.15364050E-01      0.69302362E-02      0.68850213E-02      0.15487923E-02
      0.15300000E+00      0.15553164E-01      0.70155075E-02      0.69697856E-02      0.15678714E-02
      0.15400000E+00      0.15744191E-01      0.71016398E-02      0.70554066E-02      0.15871445E-02
